"titulo","anio","director","ratingIMDB","sentimiento","critico","archivo.texto","url.imdb"
"Star wars: Episodio I - La amenaza fantasma",1999,"George Lucas",6.5,"P","Brian Takeshita","cv667_18467.txt","http://www.imdb.com/title/tt0120915/"
"Colegio de animales",1978,"John Landis",7.6,"P","Justin Siegel","cv050_11175.txt","http://www.imdb.com/title/tt0077975/"
"Dead Man's Curve",1998,"Dan Rosen",5.9,"P","DeWyNGaLe","cv854_17740.txt","http://www.imdb.com/title/tt0123034/"
"Clue",1985,"Jonathan Lynn",7.3,"P","Chuck Dowling","cv307_25270.txt","http://www.imdb.com/title/tt0088930/"
"El cristal encantado",1982,"Jim Henson",7.2,"P","Bill Chambers","cv885_12318.txt","http://www.imdb.com/title/tt0083791/"
"The Winter Guest",1997,"Alan Rickman",7.1,"P","James Berardinelli","cv777_10094.txt","http://www.imdb.com/title/tt0120521/"
"The Big Kahuna",1999,"John Swanbeck",6.6,"P","Dennis Schwartz","cv801_25228.txt","http://www.imdb.com/title/tt0189584/"
"A Dog of Flanders",1999,"Kevin Brodie",6.3,"P","John Turner","cv327_20292.txt","http://www.imdb.com/title/tt0160216/"
"Secretos y mentiras",1996,"Mike Leigh",8,"P","Julian Lim","cv258_5792.txt","http://www.imdb.com/title/tt0117589/"
"When We Were Kings",1996,"Leon Gast",8,"P","Peter Gloster","cv753_10875.txt","http://www.imdb.com/title/tt0118147/"
"Frankenstein",1994,"Kenneth Branagh",6.4,"P","Alex Ioshpe","cv469_20630.txt","http://www.imdb.com/title/tt0109836/"
"Shall we dansu?",1996,"Masayuki Suo",7.7,"P","Scott Renshaw","cv245_8569.txt","http://www.imdb.com/title/tt0117615/"
"El gran Lebowski",1998,"Joel Coen",8.2,"P","Marty Mapes","cv605_11800.txt","http://www.imdb.com/title/tt0118715/"
"In the Company of Men",1997,"Neil LaBute",7.3,"P","Rick Ferguson","cv333_8916.txt","http://www.imdb.com/title/tt0119361/"
"Desde el infierno",2001,"Albert Hughes",6.8,"P","JoBlo","cv642_29867.txt","http://www.imdb.com/title/tt0120681/"
"Vidas al limite",1999,"Martin Scorsese",6.8,"P","Jamey Hughton","cv549_21443.txt","http://www.imdb.com/title/tt0163988/"
"Shrek",2001,"Andrew Adamson",7.9,"P","Laura Clifford","cv708_28729.txt","http://www.imdb.com/title/tt0126029/"
"Destino final",2000,"James Wong",6.7,"P","John Sylva","cv591_23640.txt","http://www.imdb.com/title/tt0195714/"
"El juego",1997,"David Fincher",7.8,"P","Boyd Petrie","cv618_8974.txt","http://www.imdb.com/title/tt0119174/"
"Ciudad en tinieblas",1998,"Alex Proyas",7.7,"P","David Sunga","cv874_11236.txt","http://www.imdb.com/title/tt0118929/"
"El sexto sentido",1999,"M. Night Shyamalan",8.1,"P","Bill Chambers","cv067_19774.txt","http://www.imdb.com/title/tt0167404/"
"La lista de Schindler",1993,"Steven Spielberg",8.9,"P","Max Scheinin","cv375_9929.txt","http://www.imdb.com/title/tt0108052/"
"Jackie Brown: La estafa",1997,"Quentin Tarantino",7.5,"P","Brian Takeshita","cv414_10518.txt","http://www.imdb.com/title/tt0119396/"
"La familia de mi novia",2000,"Jay Roach",7,"P","Homer Yen","cv972_26417.txt","http://www.imdb.com/title/tt0212338/"
"The Muse",1999,"Albert Brooks",5.6,"P","Nick Lyons","cv829_20289.txt","http://www.imdb.com/title/tt0164108/"
"Vivir y morir en Los Ángeles",1985,"William Friedkin",7.3,"P","Dragan Antulov","cv647_13691.txt","http://www.imdb.com/title/tt0090180/"
"Besos que matan",1997,"Gary Fleder",6.6,"P","Boyd Petrie","cv819_9364.txt","http://www.imdb.com/title/tt0119468/"
"Mary Reilly",1996,"Stephen Frears",5.8,"P","Michael Redman","cv301_12146.txt","http://www.imdb.com/title/tt0117002/"
"Aliens, el regreso",1986,"James Cameron",8.4,"P","Boyd Petrie","cv211_9953.txt","http://www.imdb.com/title/tt0090605/"
"Hombres de negro",1997,"Barry Sonnenfeld",7.3,"P","Matt Petras","cv562_10359.txt","http://www.imdb.com/title/tt0119654/"
"Destino final",2000,"James Wong",6.7,"P","Jamey Hughton","cv736_23670.txt","http://www.imdb.com/title/tt0195714/"
"Bulworth",1998,"Warren Beatty",6.8,"P","James Kendrick","cv844_12690.txt","http://www.imdb.com/title/tt0118798/"
"Amistad",1997,"Steven Spielberg",7.3,"P","Michael Redman","cv290_11084.txt","http://www.imdb.com/title/tt0118607/"
"Stuart Little, un ratón en la familia",1999,"Rob Minkoff",5.9,"P","Chuck Dowling","cv410_24266.txt","http://www.imdb.com/title/tt0164912/"
"Las reglas de la vida",1999,"Lasse Hallström",7.4,"P","David N. Butterworth","cv756_22540.txt","http://www.imdb.com/title/tt0124315/"
"Sûpâ no onna",1996,"Jûzô Itami",7.1,"P","Pedro Sena","cv423_11155.txt","http://www.imdb.com/title/tt0127310/"
"Los Ángeles al desnudo",1997,"Curtis Hanson",8.3,"P","Choo Eng Aun, Jack","cv156_10481.txt","http://www.imdb.com/title/tt0119488/"
"Una historia de Navidad",1983,"Bob Clark",8,"P","Jamey Hughton","cv164_22447.txt","http://www.imdb.com/title/tt0085334/"
"Por siempre cenicienta - Una historia de amor",1998,"Andy Tennant",7,"P","Matt Petras","cv576_14094.txt","http://www.imdb.com/title/tt0120631/"
"Destino final",2000,"James Wong",6.7,"P","Christian Pyle","cv838_24728.txt","http://www.imdb.com/title/tt0195714/"
"Les Misérables",1998,"Bille August",7.5,"P","Matt Williams","cv732_12245.txt","http://www.imdb.com/title/tt0119683/"
"Babe el puerquito va a la ciudad",1998,"George Miller",5.8,"P","Jeffrey Huston","cv692_15451.txt","http://www.imdb.com/title/tt0120595/"
"Zero Effect",1998,"Jake Kasdan",7,"P","Nathaniel R. Atcheson","cv071_12095.txt","http://www.imdb.com/title/tt0120906/"
"Star wars: Episodio I - La amenaza fantasma",1999,"George Lucas",6.5,"P","Eugene Novikov","cv037_18510.txt","http://www.imdb.com/title/tt0120915/"
"Dogma",1999,"Kevin Smith",7.3,"P","Bill Chambers","cv030_21593.txt","http://www.imdb.com/title/tt0120655/"
"Mulan",1998,"Tony Bancroft",7.6,"P","Alex Fung","cv678_13419.txt","http://www.imdb.com/title/tt0120762/"
"Hearts in Atlantis",2001,"Scott Hicks",6.9,"P","Jon Popick","cv159_29505.txt","http://www.imdb.com/title/tt0252501/"
"Tres son multitud",1998,"Wes Anderson",7.7,"P","Nigel Bridgeman","cv130_17083.txt","http://www.imdb.com/title/tt0128445/"
"Girls Town",1996,"Jim McKay",6.2,"P","Bryant Frazer","cv685_5947.txt","http://www.imdb.com/title/tt0116418/"
"Amor a colores",1998,"Gary Ross",7.5,"P","Craig Roush","cv043_15013.txt","http://www.imdb.com/title/tt0120789/"
"Satánica inocencia",1985,"Dario Argento",6.9,"P","Mike Watson","cv760_8597.txt","http://www.imdb.com/title/tt0087909/"
"Yat goh ho yan",1997,"Sammo Kam-Bo Hung",6.2,"P","Michael Dequina","cv135_11603.txt","http://www.imdb.com/title/tt0117786/"
"Hombres de negro",1997,"Barry Sonnenfeld",7.3,"P","Laurence Mixson","cv208_9020.txt","http://www.imdb.com/title/tt0119654/"
"Ciudad en tinieblas",1998,"Alex Proyas",7.7,"P","Brandon Stahl","cv776_20529.txt","http://www.imdb.com/title/tt0118929/"
"Event Horizon",1997,"Paul W.S. Anderson",6.7,"P","Choo Eng Aun, Jack","cv174_9659.txt","http://www.imdb.com/title/tt0119081/"
"¿Dónde estás, hermano?",2000,"Joel Coen",7.8,"P","Robin Clifford","cv802_28664.txt","http://www.imdb.com/title/tt0190590/"
"Seven, los siete pecados capitales",1995,"David Fincher",8.6,"P","Jamahl Epsicokhan","cv731_4136.txt","http://www.imdb.com/title/tt0114369/"
"Star wars: Episodio I - La amenaza fantasma",1999,"George Lucas",6.5,"P","Stacey Oziel","cv031_18452.txt","http://www.imdb.com/title/tt0120915/"
"Beavis and Butt-Head Do America",1996,"Mike Judge",6.8,"P","Adam Joyce","cv699_7223.txt","http://www.imdb.com/title/tt0115641/"
"Una pareja explosiva 2",2001,"Brett Ratner",6.6,"P","Eugene Novikov","cv504_29243.txt","http://www.imdb.com/title/tt0266915/"
"Pollitos en fuga",2000,"Peter Lord",7,"P","Shay Casey","cv274_25253.txt","http://www.imdb.com/title/tt0120630/"
"Un lugar llamado Notting Hill",1999,"Roger Michell",7.1,"P","Robert Workman","cv517_19219.txt","http://www.imdb.com/title/tt0125439/"
"Osmosis Jones",2001,"Bobby Farrelly",6.3,"P","Susan Granger","cv209_29118.txt","http://www.imdb.com/title/tt0181739/"
"Contra el enemigo",1998,"Edward Zwick",6.3,"P","Christian Pyle","cv747_16556.txt","http://www.imdb.com/title/tt0133952/"
"Volcano",1997,"Mick Jackson",5.4,"P","Bryan Dobson","cv230_7428.txt","http://www.imdb.com/title/tt0120461/"
"Desafio al tiempo",2000,"Gregory Hoblit",7.4,"P","Shay Casey","cv076_24945.txt","http://www.imdb.com/title/tt0186151/"
"Perdidos en el espacio",1998,"Stephen Hopkins",5.1,"P","Berge Garabedian","cv296_12251.txt","http://www.imdb.com/title/tt0120738/"
"Three to Tango",1999,"Damon Santostefano",6.1,"P","John Sylva","cv839_21467.txt","http://www.imdb.com/title/tt0144640/"
"Contra el enemigo",1998,"Edward Zwick",6.3,"P","Brian Takeshita","cv698_15253.txt","http://www.imdb.com/title/tt0133952/"
"El divino Ned",1998,"Kirk Jones",7.3,"P","Mark Poyser","cv843_15544.txt","http://www.imdb.com/title/tt0166396/"
"Razor Blade Smile",1998,"Jake West",4.7,"P","Vince Yim","cv831_14689.txt","http://www.imdb.com/title/tt0159693/"
"Scream 2",1997,"Wes Craven",6.1,"P","Alex Fung","cv162_10424.txt","http://www.imdb.com/title/tt0120082/"
"El piso 13",1999,"Josef Rusnak",7,"P","Michael Turton","cv657_24513.txt","http://www.imdb.com/title/tt0139809/"
"La vida sin limites",1999,"Doug Liman",7.3,"P","David Wilcock","cv373_20404.txt","http://www.imdb.com/title/tt0139239/"
"Viaje a las estrellas: Insurrección",1998,"Jonathan Frakes",6.4,"P","Joe Chamberlain","cv648_15792.txt","http://www.imdb.com/title/tt0120844/"
"Luz de día",1996,"Rob Cohen",5.8,"P","Steve Kong","cv075_6500.txt","http://www.imdb.com/title/tt0116040/"
"Varsity Blues",1999,"Brian Robbins",6.4,"P","Berge Garabedian","cv405_20399.txt","http://www.imdb.com/title/tt0139699/"
"Secretos y mentiras",1996,"Mike Leigh",8,"P","John Bauer","cv863_7424.txt","http://www.imdb.com/title/tt0117589/"
"Matrix",1999,"Lana Wachowski",8.7,"P","Joe Chamberlain","cv693_18063.txt","http://www.imdb.com/title/tt0133093/"
"Tu primera vez",1999,"Paul Weitz",7,"P","Bill Chambers","cv263_19259.txt","http://www.imdb.com/title/tt0163651/"
"Ronin",1998,"John Frankenheimer",7.3,"P","Craig Roush","cv195_14528.txt","http://www.imdb.com/title/tt0122690/"
"Música del corazón",1999,"Wes Craven",6.8,"P","Jamey Hughton","cv734_21568.txt","http://www.imdb.com/title/tt0166943/"
"La guerra de las galaxias",1977,"George Lucas",8.6,"P","DeWyNGaLe","cv224_17661.txt","http://www.imdb.com/title/tt0076759/"
"Voraz",1999,"Antonia Bird",7,"P","Alex Ioshpe","cv252_23779.txt","http://www.imdb.com/title/tt0129332/"
"Joy Ride",2001,"John Dahl",6.6,"P","JoBlo","cv917_29715.txt","http://www.imdb.com/title/tt0206314/"
"El puente sobre el río Kwai",1957,"David Lean",8.2,"P","Matthias Rackwitz","cv494_17389.txt","http://www.imdb.com/title/tt0050212/"
"The Caveman's Valentine",2001,"Kasi Lemmons",5.9,"P","Walter Chaw","cv220_29059.txt","http://www.imdb.com/title/tt0182000/"
"La vida sin limites",1999,"Doug Liman",7.3,"P","Robert Workman","cv715_18179.txt","http://www.imdb.com/title/tt0139239/"
"U-571: La batalla del Atlántico",2000,"Jonathan Mostow",6.6,"P","Lars Lindahl","cv656_24201.txt","http://www.imdb.com/title/tt0141926/"
"007: El mañana nunca muere",1997,"Roger Spottiswoode",6.5,"P","David Sunga","cv941_10246.txt","http://www.imdb.com/title/tt0120347/"
