Localidad	Población.total	Viviendas particulares habitadas	Población de 15 años o más analfabeta	Población de 15 años o más sin primaria completa	Viviendas particulares habitadas sin excusado	Viviendas particulares habitadas sin energía eléctrica	Viviendas particulares habitadas sin disponibilidad de agua entubada	Promedio de ocupantes por cuarto en viviendas particulares habitadas	Viviendas particulares habitadas con piso de tierra	Viviendas particulares habitadas que no disponen de refrigerador	Índice de marginación	Grado de marginación	"Índice de marginación escala 
0 a 100"	Lugar que ocupa en el contexto nacional	Lugar que ocupa en el contexto  estatal
Los Nogales	312	110	4.62	27.47	6.36	0.95	13.33	0.8	0	8.18	-1.2062	Bajo	5.0765	 101 467	 1 754
Ojo de Agua	81	34	2.74	39.44	0	0	0	0.75	0	0	-1.2605	Bajo	4.6451	 102 810	 1 810
La Purísima	6	3	0	20	0	0	33.33	0.67	0	33.33	-1.1994	Bajo	5.1299	 101 272	 1 744
Rancho Nuevo	192	76	2.61	29.8	3.95	0	6.58	0.77	2.63	1.32	-1.2815	Bajo	4.4783	 103 239	 1 832
Los Vázquez	18	4	9.09	40	0	0	0	1.06	0	0	-1.0909	Bajo	5.9918	 97 689	 1 586
Raúl Molina	36	8	12.5	45.45	0	50	37.5	1.57	12.5	62.5	0.04	Alto	14.9695	 42 837	322
Los Aldamas	545	191	7.53	38.73	3.14	0	2.63	0.65	0.52	2.09	-1.1919	Bajo	5.1901	 101 039	 1 734
Barrio Aldamas	214	69	3.77	46.1	2.9	0	5.8	0.82	0	5.8	-1.092	Bajo	5.9833	 97 736	 1 589
Buena Vista	5	3	25	25	0	0	0	0.56	0	0	-1.177	Bajo	5.3079	 100 608	 1 712
Aldama (Estación)	490	163	3.61	33.99	1.84	1.23	1.85	0.73	0	3.68	-1.2623	Bajo	4.6309	 102 863	 1 814
La Palmita	20	9	0	64.71	22.22	0	22.22	0.63	0	11.11	-0.8097	Alto	8.2239	 84 536	 1 147
San Pedro	20	8	6.25	68.75	25	0	12.5	0.5	0	0	-0.8096	Alto	8.2244	 84 526	 1 146
La Loma (Ganadera)	36	11	4.17	66.67	27.27	0	27.27	1.24	0	9.09	-0.5381	Alto	10.3798	 69 989	793
Ciudad de Allende	 26 065	 7 323	2.38	16.86	1.43	0.12	1.27	0.9	1.55	3.29	-1.4032	Muy bajo	3.5122	 105 019	 1 943
Altamira	62	19	6.38	21.74	0	0	26.32	1.04	0	10.53	-1.1621	Bajo	5.4265	 100 197	 1 697
Atongo de Arriba	38	14	0	41.94	0	0	35.71	0.9	0	7.14	-1.0707	Bajo	6.1516	 96 888	 1 560
La Boquilla (Las Boquillas)	180	53	4.29	20.74	1.89	1.89	77.36	1.03	0	3.77	-1.0547	Medio	6.2793	 96 196	 1 536
El Cerrito	286	78	4.32	28.65	0	0	2.56	0.99	0	6.41	-1.2346	Bajo	4.8508	 102 231	 1 782
La Colmena de Abajo	135	37	6.38	32.61	0	0	2.7	0.99	2.7	0	-1.1895	Bajo	5.2088	 100 973	 1 729
La Colmena de Arriba	159	48	2.4	24.37	4.17	0	6.25	0.96	0	2.08	-1.2992	Bajo	4.3378	 103 583	 1 854
Los Aguirre	110	37	3.53	35.71	2.7	2.7	0	0.89	2.7	13.51	-1.1162	Bajo	5.7905	 98 646	 1 625
Chancaca (Los Chancacos)	39	12	5.88	22.58	0	0	25	0.78	0	0	-1.2991	Bajo	4.3391	 103 579	 1 853
Los Guzmán	247	69	3.78	29.14	0	0	1.45	0.9	1.45	2.9	-1.276	Bajo	4.5225	 103 128	 1 824
Lazarillos de Abajo	406	124	0.96	21.25	2.42	0	6.45	0.81	0.81	0.81	-1.4006	Muy bajo	3.5328	 104 985	 1 941
Lazarillos de Arriba	223	75	4.88	34.84	2.67	1.33	4	0.84	0	2.67	-1.2018	Bajo	5.111	 101 343	 1 747
Mata de Guaje	55	16	2.63	26.32	0	0	31.25	1.18	0	0	-1.1733	Bajo	5.3375	 100 525	 1 710
La Nueva Esperanza	28	8	0	5	12.5	0	12.5	1.09	0	12.5	-1.3534	Muy bajo	3.9079	 104 401	 1 905
Paso Hondo	790	206	3.78	23.18	0.49	0	7.8	0.95	0.49	2.91	-1.3045	Bajo	4.296	 103 651	 1 859
La Paz	27	10	4.76	47.62	20	0	40	1	10	0	-0.7719	Alto	8.5243	 82 527	 1 097
El Porvenir	449	132	4.35	28.85	2.27	0.76	3.82	1	0.76	3.79	-1.2184	Bajo	4.9798	 101 807	 1 766
Raíces	55	17	15.79	57.89	5.88	5.88	47.06	1	5.88	17.65	-0.4771	Alto	10.8641	 66 725	724
Los Sabinos (Sabinos de Abajo)	 1 111	311	3.86	23.23	0.96	0.32	17.74	0.85	0.96	3.54	-1.2865	Bajo	4.4389	 103 343	 1 839
San Antonio (Hacienda San Antonio)	432	135	5.77	29.32	0	0.74	5.19	0.95	1.48	4.44	-1.2096	Bajo	5.0495	 101 558	 1 755
Los Terreros	331	88	2.16	20.83	2.27	0	8.05	1.06	0	4.55	-1.3001	Bajo	4.3308	 103 601	 1 856
El Venado	36	12	12	41.67	0	0	58.33	1	8.33	16.67	-0.7082	Alto	9.0301	 79 058	989
Jáuregui	439	122	3.53	25.42	4.1	0	4.92	1.06	2.46	2.46	-1.2329	Bajo	4.8641	 102 186	 1 779
Los Barros	41	13	3.03	17.24	0	0	61.54	0.85	0	0	-1.2506	Bajo	4.7239	 102 592	 1 795
El Maguey	106	26	5.97	37.31	34.62	0	11.54	1.56	7.69	3.85	-0.7048	Alto	9.0565	 78 892	987
Las Puentes	46	15	0	33.33	0	0	6.67	0.68	6.67	6.67	-1.2663	Bajo	4.5989	 102 959	 1 818
Atongo de Abajo (Atongo Allende)	215	66	3.92	27.52	1.52	0	22.73	0.84	0	3.03	-1.2385	Bajo	4.8195	 102 332	 1 783
La Cañada Honda	42	14	0	36.67	14.29	21.43	21.43	1.45	0	35.71	-0.6297	Alto	9.6528	 74 835	899
El Olmo (Meseta del Pato)	46	10	6.45	22.58	0	10	60	1.7	10	10	-0.7363	Alto	8.8067	 80 598	 1 029
El Provisor	33	11	16.67	45.83	9.09	0	81.82	1.43	9.09	0	-0.4583	Alto	11.0136	 65 726	707
San Jorge	21	6	0	38.46	0	0	33.33	1.24	0	0	-1.0631	Medio	6.2127	 96 558	 1 552
Vicente Salazar (Labores Nuevas)	20	6	11.76	35.29	33.33	16.67	83.33	1.11	16.67	16.67	-0.3088	Alto	12.2002	 58 125	548
El Tulapan	12	3	0	37.5	0	0	0	1.5	0	0	-1.1089	Bajo	5.8489	 98 353	 1 611
El Pato (Meseta del Pato)	11	4	20	70	0	0	25	1	0	0	-0.5941	Alto	9.9358	 72 971	854
Tres Botellas (El Olmo)	9	2	0	0	0	0	0	1	0	0	-1.616	Muy bajo	1.8227	 106 656	 2 025
El Olmo	5	3	0	60	0	0	100	0.63	0	33.33	-0.6004	Alto	9.8856	 73 261	863
Felícitos Rodríguez Cavazos	25	4	18.18	63.64	0	0	25	1.33	0	0	-0.5895	Alto	9.9724	 72 729	846
Los Sabinos de Arriba	13	5	0	12.5	0	0	0	0.62	0	0	-1.5964	Muy bajo	1.9786	 106 521	 2 021
Las Cruces (Carretera Nacional Kilómetro 236)	72	19	6.82	27.27	5.26	0	78.95	1.31	10.53	15.79	-0.7235	Alto	8.9081	 79 879	 1 012
Colinas del Vergel	8	3	0	0	0	0	0	0.73	0	0	-1.6898	Muy bajo	1.2368	 107 105	 2 035
Villas de San Antonio	13	4	0	12.5	0	0	25	0.81	0	0	-1.4639	Muy bajo	3.0302	 105 578	 1 972
Campestre All Green	17	7	7.14	28.57	0	0	0	1.06	0	28.57	-1.0552	Medio	6.2754	 96 219	 1 537
Villas Campestres de Rancho Grande	30	8	0	26.32	0	0	37.5	1.43	0	0	-1.1177	Bajo	5.7789	 98 690	 1 629
Anáhuac	 16 628	 4 256	3.8	22.77	2.33	0.89	2.09	1	3.13	6.09	-1.2593	Bajo	4.655	 102 785	 1 808
Nuevo Anáhuac	107	32	17.05	62.65	25	6.25	96.88	1.27	53.13	18.75	0.2659	Alto	16.7629	 34 675	241
Nuevo Camarón	62	18	2.08	47.83	0	0	100	1	16.67	5.56	-0.6467	Alto	9.5178	 75 781	920
Nuevo Rodríguez	93	30	7.81	46.88	20	3.33	100	0.93	20	10	-0.4168	Alto	11.3432	 63 569	664
La Burra	5	3	0	20	0	100	100	0.5	0	100	-0.0084	Alto	14.5856	 44 754	349
Regantes Número Catorce	14	4	0	25	25	75	100	1.08	0	75	0.0389	Alto	14.9606	 42 886	323
Salinillas	89	29	0	33.33	6.9	48.28	100	1.44	10.34	58.62	-0.079	Alto	14.0249	 47 718	383
Las Bugambilias	8	3	0	50	0	0	100	1.14	0	0	-0.7616	Alto	8.6057	 81 987	 1 077
La Capilla	12	3	16.67	83.33	0	0	100	2.4	0	66.67	0.5239	Alto	18.8111	 27 087	165
Colombia	514	149	4.31	26.33	8.05	3.36	2.68	1.06	6.04	8.72	-1.1149	Bajo	5.8013	 98 595	 1 622
Colombia	27	6	0	23.53	0	16.67	100	1.5	16.67	33.33	-0.5048	Alto	10.6447	 68 219	757
Los Cueva	7	4	33.33	33.33	25	50	100	1.17	25	100	0.7312	Muy alto	20.4567	 22 043	120
La Gloria	65	17	4.88	35.9	0	23.53	100	1.48	5.88	23.53	-0.4184	Alto	11.3306	 63 651	665
Los Hernández	9	3	0	25	33.33	66.67	100	1.29	0	100	0.2445	Alto	16.5931	 35 390	250
Puente del Río Salado	29	8	4.35	36.36	12.5	0	100	1.38	12.5	0	-0.6175	Alto	9.75	 74 190	884
Los Torres	14	4	0	33.33	0	25	100	1.75	0	100	0.0007	Alto	14.6571	 44 400	342
Capilla San Isidro	11	3	14.29	60	33.33	0	100	2.75	66.67	33.33	0.8113	Muy alto	21.0928	 20 336	108
Los Ángeles	8	6	14.29	71.43	16.67	83.33	100	0.57	33.33	100	0.9211	Muy alto	21.964	 18 171	96
José Quintero	8	4	0	62.5	50	75	100	0.73	0	100	0.6105	Alto	19.4987	 24 853	149
Lázaro Cárdenas	50	14	6.98	47.5	0	35.71	100	1.11	14.29	35.71	-0.1715	Alto	13.2907	 51 746	449
Ciudad Apodaca	 467 157	 116 900	1.11	6.58	2.08	0.07	0.31	0.97	1	4.05	-1.5004	Muy bajo	2.7403	 105 866	 1 986
Agua Fría	733	171	3.12	15.27	1.75	0	13.02	0.95	4.73	2.92	-1.3374	Muy bajo	4.0351	 104 192	 1 892
Loma la Paz	 5 629	 1 263	1.49	9.65	2.53	0	0.08	1.33	1.54	6.18	-1.3489	Muy bajo	3.943	 104 345	 1 901
Santa Rosa	 9 880	 2 800	0.85	5.92	0.61	0.14	0.39	0.96	5.64	2.96	-1.4953	Muy bajo	2.7814	 105 822	 1 982
Campestre Huinalá	 2 000	532	0.08	3	1.88	0	1.34	0.97	0.19	3.38	-1.5566	Muy bajo	2.2949	 106 246	 2 008
Patricio Zambrano (Los Leones)	23	6	0	12.5	0	0	100	2.3	16.67	33.33	-0.4983	Alto	10.6962	 67 855	744
San Jerónimo (La Hacienda)	8	4	0	50	0	0	50	0.8	0	25	-0.8643	Medio	7.7908	 87 415	 1 246
Caballerizas	12	3	0	14.29	0	0	0	1.33	0	0	-1.3847	Muy bajo	3.6592	 104 799	 1 931
La Labor de la Virgen	9	3	0	50	0	0	0	1.5	0	0	-0.9854	Medio	6.8294	 93 210	 1 441
Nueva Santa Rosa	13	3	0	22.22	0	33.33	66.67	1.18	0	33.33	-0.7243	Alto	8.9018	 79 917	 1 013
Santa Beva (San Fernando)	10	4	14.29	28.57	0	0	25	1.67	0	25	-0.7403	Alto	8.775	 80 805	 1 036
Entronque Laredo-Salinas Victoria	 2 758	435	1.8	7.4	0.23	0	8.99	1.13	0	0.92	-1.4491	Muy bajo	3.1478	 105 446	 1 965
La Escondida	22	4	7.14	28.57	0	0	75	2	0	0	-0.7296	Alto	8.86	 80 212	 1 022
El Rodeo	12	3	0	25	0	0	33.33	1.5	0	0	-1.125	Bajo	5.721	 98 952	 1 640
Artemio Treviño	 1 756	416	3.75	19.55	2.88	0.48	13.04	1.22	3.38	5.77	-1.1959	Bajo	5.1582	 101 154	 1 741
Teresita	26	4	5.56	33.33	0	0	0	2.36	0	0	-0.8456	Medio	7.9391	 86 444	 1 213
Prados de Santa Rosa	 9 626	 2 499	0.91	6.15	1.56	0.16	0.24	1.03	1.59	4.16	-1.4887	Muy bajo	2.8334	 105 770	 1 980
Ex-Hacienda de Santa Rosa	6	3	0	33.33	0	0	66.67	1.2	33.33	33.33	-0.5855	Alto	10.0037	 72 530	842
Fraccionamiento Cosmópolis Octavo Sector	 2 996	827	0.79	4.09	0.12	0	0	0.95	0.49	1.81	-1.5643	Muy bajo	2.2332	 106 298	 2 011
Ex-Hacienda Santa Rosa	 9 485	 2 695	0.08	1.7	1.63	0	0.08	0.9	0.41	3.15	-1.5938	Muy bajo	1.9991	 106 503	 2 020
Fraccionamiento Misión de San Javier	 2 655	642	0.14	3.76	2.96	0	0	1.04	2.89	4.52	-1.5018	Muy bajo	2.7297	 105 872	 1 988
Misión San Pablo	 8 174	 2 173	0.56	3.58	3.31	0	0.19	1.01	0.38	4.51	-1.5211	Muy bajo	2.576	 106 015	 1 994
Radica	102	36	0	0	5.56	0	0	0.57	0	5.56	-1.6676	Muy bajo	1.4132	 106 963	 2 033
Triana	101	34	0	0	0	0	0	0.78	0	2.94	-1.6584	Muy bajo	1.4867	 106 902	 2 031
Las Cruces	26	8	0	5.88	0	25	25	0.53	25	25	-1.1272	Bajo	5.7031	 99 027	 1 645
Aramberri	 2 538	673	4.23	24.67	3.12	1.19	9.21	1.05	8.18	16.64	-1.0934	Bajo	5.9718	 97 786	 1 591
Agua Delgada	191	35	27.27	58.16	0	0	40	1.62	11.43	68.57	0.0916	Alto	15.3791	 40 890	305
El Alamar	70	15	39.02	78.05	33.33	73.33	100	2.06	26.67	100	1.6918	Muy alto	28.0826	 7 901	21
Álamos	73	15	9.76	65	60	13.33	6.67	1.59	93.33	100	1.0117	Muy alto	22.6834	 16 525	84
La Aldea	250	58	9.27	37.32	6.9	12.07	61.4	1.59	24.14	48.28	-0.1988	Alto	13.0741	 53 024	466
La Angostura	10	4	10	60	0	50	50	1.11	25	100	0.3803	Alto	17.6709	 31 064	202
Las Ánimas (Presa de las Ánimas)	199	51	15.33	48.51	15.69	5.88	15.69	1.21	9.8	50.98	-0.3334	Alto	12.0051	 59 264	571
La Ascención	 2 823	754	7.89	27.55	2.25	0.66	2.93	1	6.76	19.23	-1.0555	Medio	6.2725	 96 229	 1 538
La Boquilla	29	9	8.33	66.67	11.11	77.78	33.33	1.32	55.56	100	0.8765	Muy alto	21.61	 19 004	102
La Caballada	162	41	23.21	53.57	7.32	0	31.71	1.33	26.83	56.1	-0.0372	Alto	14.357	 45 932	363
Cañón de Vacas (El Jardín)	117	28	14.86	43.24	3.57	3.57	67.86	1.48	10.71	46.43	-0.2554	Alto	12.6242	 55 572	505
La Carpintería	99	30	17.14	41.79	6.67	13.33	90	1.3	13.33	23.33	-0.2625	Alto	12.5682	 55 884	510
El Carrizalillo	43	9	22.58	54.84	33.33	33.33	55.56	1.59	33.33	55.56	0.5147	Alto	18.7379	 27 334	167
Dolores Palmita	65	16	13.33	63.64	18.75	12.5	0	1.55	18.75	100	0.2508	Alto	16.6432	 35 163	247
La Escondida	364	100	7.17	40.73	3	0	4	1.19	4	30	-0.8326	Medio	8.0421	 85 767	 1 184
La Esperanza	95	28	1.54	40.63	0	3.57	0	1.19	14.29	25	-0.8715	Medio	7.7334	 87 779	 1 259
Rancho Nuevo (Las Hornillas)	135	30	13.92	33.77	13.33	3.33	36.67	1.71	33.33	53.33	-0.1453	Alto	13.4987	 50 594	425
Ibarrilla (Rincón de Ibarrilla)	103	29	8.11	44.59	10.34	6.9	0	1.45	10.34	100	-0.1715	Alto	13.2905	 51 748	450
Ignacio Zaragoza	96	28	25.35	66.2	14.29	7.14	17.86	1.33	82.14	96.43	0.7802	Muy alto	20.8457	 20 962	112
Hoya de Bocacelly	79	23	13.79	59.65	8.7	0	4.35	1.2	17.39	34.78	-0.4046	Alto	11.44	 62 921	648
Joyas y Anteojitos	136	42	24.27	66.02	4.76	0	0	1.16	16.67	45.24	-0.2003	Alto	13.062	 53 091	468
Laguna de Bocacelly	50	15	18.92	63.89	13.33	0	6.67	1.25	20	33.33	-0.2413	Alto	12.7361	 54 909	488
Lagunita (Lagunita de los Cerda)	22	3	0	23.08	0	100	100	3.14	100	100	1.4335	Muy alto	26.0318	 10 610	33
Lampacitos	202	48	8.15	57.04	6.25	2.08	2.08	1.52	6.25	43.75	-0.4446	Alto	11.1221	 65 026	694
Marmolejo	94	17	10.17	47.46	35.29	11.76	100	1.96	5.88	35.29	0.0969	Alto	15.4209	 40 676	302
Milpillas	134	40	22.92	53.68	2.5	10	7.5	1.28	27.5	52.5	-0.1147	Alto	13.7416	 49 273	407
El Nacimiento	61	14	2.38	50	7.14	0	14.29	1.49	71.43	7.14	-0.3348	Alto	11.9941	 59 336	574
Los Nogales	107	25	10.77	36.07	12	8	16	1.49	8	40	-0.523	Alto	10.4999	 69 206	775
El Porvenir	33	10	7.69	66.67	0	0	0	1.32	10	60	-0.3416	Alto	11.9403	 59 660	579
Potrero del Padre (Lagunita de González)	46	11	12.5	37.5	9.09	81.82	72.73	2	100	100	1.273	Muy alto	24.7577	 12 577	50
Potrero de Zamora	71	19	15.09	51.92	10.53	0	0	1.29	15.79	26.32	-0.5057	Alto	10.6371	 68 266	760
Las Presas	88	21	19.64	39.62	57.14	14.29	100	1.33	4.76	33.33	0.0887	Alto	15.3562	 40 979	306
Puerto Bajo	68	21	10.34	43.64	0	0	0	1.05	9.52	19.05	-0.861	Medio	7.8167	 87 244	 1 244
Puerto Carretas	109	27	11.94	53.13	14.81	3.7	37.04	1.31	14.81	37.04	-0.3024	Alto	12.2512	 57 836	544
Rancho Nuevo	80	20	12.28	45.45	5	5	10	1.29	30	30	-0.4534	Alto	11.0523	 65 444	703
El Realito (La Parrita)	129	35	9.88	32.05	2.86	0	2.86	1.12	2.86	22.86	-0.9593	Medio	7.0365	 92 032	 1 400
La Reforma	66	17	11.11	37.21	35.29	0	5.88	1.27	17.65	58.82	-0.3337	Alto	12.0031	 59 282	572
El Refugio (Refugio de Texas)	89	22	19.35	56.67	22.73	0	100	1.41	31.82	100	0.577	Alto	19.2323	 25 692	154
El Rincón de Jesús	62	17	4.35	47.83	5.88	0	0	1.68	41.18	100	0.0204	Alto	14.8135	 43 615	330
Poblado el Río (El Sabinito)	22	6	16.67	81.82	66.67	66.67	83.33	1.57	16.67	100	1.3458	Muy alto	25.336	 11 639	43
El Rodeo	36	10	6.9	48.28	0	10	10	1.2	40	60	-0.2649	Alto	12.5487	 55 995	513
El Rucio	121	34	15.85	55.56	0	11.76	2.94	1.38	20.59	100	0.0645	Alto	15.1641	 41 903	314
El Sacramento	79	21	7.14	41.51	0	0	28.57	1.44	19.05	28.57	-0.6	Alto	9.8886	 73 246	862
Salitrillo	53	10	10.34	55.17	20	0	10	1.66	10	50	-0.241	Alto	12.7384	 54 893	487
Sandia (Sandia el Grande)	995	251	6.96	36.15	1.99	0	1.2	1.22	9.16	25.1	-0.8813	Medio	7.6559	 88 258	 1 271
San Isidro	187	44	8.66	34.92	6.82	0	0	1.34	4.55	38.64	-0.765	Alto	8.5791	 82 166	 1 087
San Joaquín de Soto	258	66	15.87	46.56	13.64	6.15	3.03	1.23	7.58	40.91	-0.4677	Alto	10.9387	 66 218	716
San José del Jilguero	53	17	27.91	67.44	0	88.24	11.76	1.1	29.41	100	0.8188	Muy alto	21.1518	 20 138	107
San Juan de Avilés	139	39	5.05	36.46	12.82	2.56	0	1.07	10.26	25.64	-0.8572	Medio	7.8473	 87 041	 1 235
San Juanito de Reséndiz	82	28	14.29	55.07	0	7.14	0	0.98	25	46.43	-0.4012	Alto	11.4672	 62 732	644
San Juanito de Solís	54	15	15.38	44.74	0	0	86.67	1.26	6.67	40	-0.3434	Alto	11.9255	 59 765	581
Puentes (San Juan y Puentes)	293	75	8.23	34.5	0	1.33	1.33	1.06	8	9.33	-1.0318	Medio	6.4607	 95 242	 1 498
San Rafael de los Cortez (Las Cruces)	46	12	13.16	56.76	8.33	9.09	25	1.39	25	41.67	-0.1743	Alto	13.2683	 51 881	451
San Rafael del Llano	135	37	5.77	34.31	2.7	5.41	2.7	1.24	2.7	32.43	-0.8665	Medio	7.7734	 87 513	 1 251
Santa Cruz	21	3	7.14	46.15	0	66.67	66.67	2.63	33.33	66.67	0.6358	Alto	19.6995	 24 238	141
El Saucillo	19	7	12.5	81.25	28.57	0	85.71	1	85.71	42.86	0.636	Alto	19.7009	 24 233	140
La Soledad (Rusia)	439	122	7.67	40.74	0	0.82	0	1.07	9.02	18.03	-0.9222	Medio	7.3311	 90 271	 1 338
El Tejocote	41	12	15.63	71.88	0	8.33	0	0.95	0	33.33	-0.471	Alto	10.9129	 66 405	720
La Trinidad	621	166	14.48	41.9	4.82	8.54	3.07	1.11	15.15	40.36	-0.5514	Alto	10.2746	 70 672	806
La Victoria (Los Ángeles)	137	36	5.15	35.05	5.56	2.78	100	1.17	5.56	27.78	-0.5807	Alto	10.0419	 72 269	834
Las Virgenes	34	9	13.04	52.17	0	0	0	1.21	11.11	44.44	-0.5345	Alto	10.4087	 69 819	791
Yerbaniz	10	3	22.22	33.33	0	66.67	66.67	1.11	33.33	100	0.4839	Alto	18.4931	 28 143	176
San Enrique (Los Mendoza)	12	3	0	42.86	0	0	100	2	0	100	0.0083	Alto	14.7178	 44 119	336
El Jilguero	26	10	33.33	72.22	0	10	0	1.13	0	100	0.2168	Alto	16.3728	 36 338	259
La Canoa	51	13	12.5	53.33	15.38	7.69	38.46	1.55	15.38	100	0.19	Alto	16.16	 37 306	269
Ojo de Agua	26	6	5.88	41.18	83.33	0	0	1.86	16.67	100	0.3046	Alto	17.0697	 33 446	228
San Antonio	19	6	8.33	58.33	100	100	100	1.36	100	100	1.9812	Muy alto	30.38	 5 426	13
La Mora	8	4	12.5	62.5	100	0	0	0.89	0	50	0.0121	Alto	14.7477	 43 978	332
La Reforma	18	5	40	70	0	0	20	1.38	0	80	0.2278	Alto	16.4607	 35 966	257
Milpa Vieja (San Manuel)	20	5	10	70	0	0	0	1.43	60	60	0.0952	Alto	15.4075	 40 746	304
El Coyote	43	12	32.35	52.94	8.33	8.33	8.33	1.34	8.33	75	0.0426	Alto	14.9898	 42 738	320
La Lajilla	14	4	0	66.67	0	0	0	1.4	50	25	-0.3518	Alto	11.8595	 60 202	590
Las Joyitas	6	3	0	66.67	0	0	66.67	0.67	33.33	33.33	-0.401	Alto	11.4683	 62 727	643
Cedritos	59	12	31.82	56.82	0	33.33	0	1.44	16.67	91.67	0.3394	Alto	17.3461	 32 332	215
La Rosita (Los Llanitos)	83	22	9.8	46.94	4.55	0	0	1.24	4.55	22.73	-0.7688	Alto	8.5485	 82 358	 1 093
El Mezquital	12	3	20	40	33.33	0	0	1.09	33.33	0	-0.5225	Alto	10.5037	 69 181	774
El Tejón	17	4	0	40	0	0	0	1.21	0	50	-0.8607	Medio	7.8189	 87 228	 1 242
El Molino	19	4	0	16.67	0	0	0	1.9	0	50	-0.9027	Medio	7.4859	 89 350	 1 313
San Isidro	17	5	27.27	45.45	20	20	40	1.31	20	40	0.0076	Alto	14.7127	 44 145	337
El Olmo	26	6	5.56	47.06	50	0	16.67	1.44	50	66.67	0.1317	Alto	15.6974	 39 389	290
La Peña	11	3	0	50	0	0	0	1.22	0	0	-1.0619	Medio	6.2218	 96 509	 1 548
La Florida	104	20	3.13	20	0	0	10	1.58	5	25	-1.0028	Medio	6.6909	 93 990	 1 452
San Patricio	8	3	16.67	66.67	0	0	0	0.8	0	66.67	-0.4002	Alto	11.4747	 62 680	641
El Muerto	20	3	8.33	16.67	0	33.33	66.67	2.5	0	66.67	-0.1125	Alto	13.7587	 49 178	406
Santa Teresa	20	3	17.65	35.29	66.67	100	100	2.5	66.67	100	1.7576	Muy alto	28.605	 7 294	18
La Sabanilla	33	6	38.89	77.78	0	0	0	2.2	20	16.67	0.205	Alto	16.2797	 36 771	264
La Lagunita (Lagunita de los Vázquez)	58	16	2.27	31.82	6.25	12.5	0	1.14	31.25	31.25	-0.7165	Alto	8.964	 79 502	 1 004
Las Mancuernas	79	24	25	55.56	8.33	8.33	0	1.22	20.83	50	-0.1482	Alto	13.4752	 50 725	427
El Monal	64	19	14.29	42.5	0	5.26	5.26	1.39	31.58	57.89	-0.2932	Alto	12.3243	 57 353	535
El Cedrito	13	4	0	33.33	50	100	0	1.3	25	100	0.4832	Alto	18.4883	 28 158	177
Agua Fría	40	8	0	25	75	50	87.5	2.35	100	100	1.323	Muy alto	25.1551	 11 925	45
Guadalupe Victoria	52	18	18.18	59.09	5.56	0	22.22	1.13	38.89	100	0.208	Alto	16.3035	 36 661	261
Las Juanas	29	6	19.05	33.33	16.67	0	100	1.71	0	50	-0.1329	Alto	13.597	 50 066	415
El Jardín (Cañón de Vacas)	28	6	29.41	58.82	0	0	50	1.65	33.33	66.67	0.3048	Alto	17.0719	 33 438	227
La Vieja	20	4	7.69	15.38	0	0	100	1.67	50	100	0.0877	Alto	15.3479	 41 019	307
El Calichal	10	4	30	100	0	0	0	0.91	0	50	0.0248	Alto	14.849	 43 452	326
El Nogalar (La Pita)	19	4	45.45	72.73	75	75	75	1.9	50	100	2.009	Muy alto	30.6006	 5 223	11
Puerto de Anteojitos	90	24	24.59	49.15	37.5	12.5	41.67	1.41	16.67	66.67	0.2372	Alto	16.5351	 35 634	252
Guadalupe de los Navarro	50	14	12.12	36.36	28.57	57.14	100	1.35	100	100	1.1278	Muy alto	23.6049	 14 653	61
Agua Adentro	8	3	50	66.67	33.33	100	100	1.6	100	100	2.2617	Muy alto	32.607	 3 686	4
