Localidad,Población total,Viviendas particulares habitadas,Población de 15 años o más analfabeta,Población de 15 años o más sin primaria completa, Viviendas particulares habitadas sin excusado, Viviendas particulares habitadas sin energía eléctrica,Viviendas particulares habitadas sin disponibilidad de agua entubada,Promedio de ocupantes por cuarto en viviendas particulares habitadas,Viviendas particulares habitadas con piso de tierra,Viviendas particulares habitadas que no disponen de refrigerador,Índice de marginación,Grado de marginación,"Índice de marginación escala 
0 a 100",Lugar que ocupa en el contexto nacional,Lugar que ocupa en el contexto  estatal
San Pedro,20,8,6.25,68.75,25,0,12.5,0.5,0,0,-0.809649232,Alto,8.224396117,84526,1146
La Loma (Ganadera),36,11,4.166666667,66.66666667,27.27272727,0,27.27272727,1.24,0,9.090909091,-0.538145786,Alto,10.37978776,69989,793
Ciudad de Allende,26065,7323,2.378114843,16.86290276,1.433838591,0.12345679,1.267217631,0.9,1.554332875,3.291000956,-1.403224728,Muy bajo,3.512162514,105019,1943
Altamira,62,19,6.382978723,21.73913043,0,0,26.31578947,1.04,0,10.52631579,-1.162087186,Bajo,5.42648754,100197,1697
Atongo de Arriba,38,14,0,41.93548387,0,0,35.71428571,0.9,0,7.142857143,-1.07074407,Bajo,6.151635572,96888,1560
La Boquilla (Las Boquillas),180,53,4.285714286,20.74074074,1.886792453,1.886792453,77.35849057,1.03,0,3.773584906,-1.0546687,Medio,6.279253539,96196,1536
El Cerrito,286,78,4.324324324,28.65168539,0,0,2.564102564,0.99,0,6.41025641,-1.234606252,Bajo,4.8507785,102231,1782
La Colmena de Abajo,135,37,6.382978723,32.60869565,0,0,2.702702703,0.99,2.702702703,0,-1.189513293,Bajo,5.208759178,100973,1729
La Colmena de Arriba,159,48,2.4,24.3697479,4.166666667,0,6.25,0.96,0,2.083333333,-1.29922905,Bajo,4.337755776,103583,1854
Los Aguirre,110,37,3.529411765,35.71428571,2.702702703,2.702702703,0,0.89,2.702702703,13.51351351,-1.116240648,Bajo,5.790450676,98646,1625
Chancaca (Los Chancacos),39,12,5.882352941,22.58064516,0,0,25,0.78,0,0,-1.299056931,Bajo,4.339122178,103579,1853
Los Guzmán,247,69,3.783783784,29.14285714,0,0,1.449275362,0.9,1.449275362,2.898550725,-1.275958471,Bajo,4.522494537,103128,1824
Lazarillos de Abajo,406,124,0.964630225,21.2543554,2.419354839,0,6.451612903,0.81,0.806451613,0.806451613,-1.400621092,Muy bajo,3.532832069,104985,1941
Lazarillos de Arriba,223,75,4.878048781,34.83870968,2.666666667,1.333333333,4,0.84,0,2.666666667,-1.201827059,Bajo,5.111003553,101343,1747
Mata de Guaje,55,16,2.631578947,26.31578947,0,0,31.25,1.18,0,0,-1.173294647,Bajo,5.337514574,100525,1710
La Nueva Esperanza,28,8,0,5,12.5,0,12.5,1.09,0,12.5,-1.353370659,Muy bajo,3.90794034,104401,1905
Paso Hondo,790,206,3.780718337,23.1827112,0.485436893,0,7.804878049,0.95,0.485436893,2.912621359,-1.304482996,Bajo,4.296046128,103651,1859
La Paz,27,10,4.761904762,47.61904762,20,0,40,1,10,0,-0.771868441,Alto,8.524327489,82527,1097
El Porvenir,449,132,4.347826087,28.84615385,2.272727273,0.757575758,3.816793893,1,0.757575758,3.787878788,-1.218359245,Bajo,4.979759051,101807,1766
Raíces,55,17,15.78947368,57.89473684,5.882352941,5.882352941,47.05882353,1,5.882352941,17.64705882,-0.477139285,Alto,10.86410169,66725,724
Los Sabinos (Sabinos de Abajo),1111,311,3.861517976,23.22670376,0.964630225,0.322580645,17.74193548,0.85,0.964630225,3.536977492,-1.286487971,Bajo,4.438903714,103343,1839
San Antonio (Hacienda San Antonio),432,135,5.769230769,29.31596091,0,0.740740741,5.185185185,0.95,1.481481482,4.444444444,-1.209578807,Bajo,5.049464549,101558,1755
Los Terreros,331,88,2.164502165,20.83333333,2.272727273,0,8.045977012,1.06,0,4.545454546,-1.300106118,Bajo,4.330792972,103601,1856
El Venado,36,12,12,41.66666667,0,0,58.33333333,1,8.333333333,16.66666667,-0.708162484,Alto,9.030071667,79058,989
Jáuregui,439,122,3.525641026,25.4180602,4.098360656,0,4.918032787,1.06,2.459016393,2.459016393,-1.23292943,Bajo,4.864090332,102186,1779
Los Barros,41,13,3.03030303,17.24137931,0,0,61.53846154,0.85,0,0,-1.250592952,Bajo,4.723864463,102592,1795
El Maguey,106,26,5.970149254,37.31343284,34.61538462,0,11.53846154,1.56,7.692307692,3.846153846,-0.704828178,Alto,9.05654181,78892,987
Las Puentes,46,15,0,33.33333333,0,0,6.666666667,0.68,6.666666667,6.666666667,-1.266337354,Bajo,4.598873953,102959,1818
Atongo de Abajo (Atongo Allende),215,66,3.921568628,27.51677852,1.515151515,0,22.72727273,0.84,0,3.03030303,-1.238540073,Bajo,4.81954897,102332,1783
La Cañada Honda,42,14,0,36.66666667,14.28571429,21.42857143,21.42857143,1.45,0,35.71428571,-0.629725828,Alto,9.652758838,74835,899
El Olmo (Meseta del Pato),46,10,6.451612903,22.58064516,0,10,60,1.7,10,10,-0.736293539,Alto,8.806746916,80598,1029
El Provisor,33,11,16.66666667,45.83333333,9.090909091,0,81.81818182,1.43,9.090909091,0,-0.458303141,Alto,11.01363669,65726,707
San Jorge,21,6,0,38.46153846,0,0,33.33333333,1.24,0,0,-1.063052036,Medio,6.212700529,96558,1552
Vicente Salazar (Labores Nuevas),20,6,11.76470588,35.29411765,33.33333333,16.66666667,83.33333333,1.11,16.66666667,16.66666667,-0.308844178,Alto,12.20015054,58125,548
El Tulapan,12,3,0,37.5,0,0,0,1.5,0,0,-1.108872462,Bajo,5.848944688,98353,1611
El Pato (Meseta del Pato),11,4,20,70,0,0,25,1,0,0,-0.594068317,Alto,9.935834075,72971,854
Tres Botellas (El Olmo),9,2,0,0,0,0,0,1,0,0,-1.616042434,Muy bajo,1.822660917,106656,2025
El Olmo,5,3,0,60,0,0,100,0.63,0,33.33333333,-0.600400292,Alto,9.885566252,73261,863
Felícitos Rodríguez Cavazos,25,4,18.18181818,63.63636364,0,0,25,1.33,0,0,-0.58945691,Alto,9.972442772,72729,846
Los Sabinos de Arriba,13,5,0,12.5,0,0,0,0.62,0,0,-1.596402202,Muy bajo,1.978579355,106521,2021
Las Cruces (Carretera Nacional Kilómetro 236),72,19,6.818181818,27.27272727,5.263157895,0,78.94736842,1.31,10.52631579,15.78947368,-0.723526642,Alto,8.90809982,79879,1012
Colinas del Vergel,8,3,0,0,0,0,0,0.73,0,0,-1.689839571,Muy bajo,1.236805622,107105,2035
Villas de San Antonio,13,4,0,12.5,0,0,25,0.81,0,0,-1.463932797,Muy bajo,3.030217748,105578,1972
Campestre All Green,17,7,7.142857143,28.57142857,0,0,0,1.06,0,28.57142857,-1.055153297,Medio,6.275406459,96219,1537
Villas Campestres de Rancho Grande,30,8,0,26.31578947,0,0,37.5,1.43,0,0,-1.117700491,Bajo,5.778861381,98690,1629
Anáhuac,16628,4256,3.804397409,22.77218133,2.32612782,0.893907316,2.094117647,1,3.132359868,6.085526316,-1.259261701,Bajo,4.655045629,102785,1808
Nuevo Anáhuac,107,32,17.04545455,62.65060241,25,6.25,96.875,1.27,53.125,18.75,0.265899866,Alto,16.7628864,34675,241
Nuevo Camarón,62,18,2.083333333,47.82608696,0,0,100,1,16.66666667,5.555555556,-0.646726574,Alto,9.517794566,75781,920
Nuevo Rodríguez,93,30,7.8125,46.875,20,3.333333333,100,0.93,20,10,-0.416791283,Alto,11.34318799,63569,664
La Burra,5,3,0,20,0,100,100,0.5,0,100,-0.008363373,Alto,14.58558552,44754,349
Regantes Número Catorce,14,4,0,25,25,75,100,1.08,0,75,0.038870088,Alto,14.96055905,42886,323
Salinillas,89,29,0,33.33333333,6.896551724,48.27586207,100,1.44,10.34482759,58.62068966,-0.078992228,Alto,14.02488235,47718,383
Las Bugambilias,8,3,0,50,0,0,100,1.14,0,0,-0.76161343,Alto,8.605739222,81987,1077
La Capilla,12,3,16.66666667,83.33333333,0,0,100,2.4,0,66.66666667,0.523908362,Alto,18.81114532,27087,165
Colombia,514,149,4.310344828,26.33136095,8.053691275,3.355704698,2.684563758,1.06,6.040268456,8.724832215,-1.114870307,Bajo,5.80132944,98595,1622
Colombia,27,6,0,23.52941176,0,16.66666667,100,1.5,16.66666667,33.33333333,-0.504779125,Alto,10.64467656,68219,757
Los Cueva,7,4,33.33333333,33.33333333,25,50,100,1.17,25,100,0.731193732,Muy alto,20.45672721,22043,120
La Gloria,65,17,4.878048781,35.8974359,0,23.52941176,100,1.48,5.882352941,23.52941176,-0.418372349,Alto,11.33063634,63651,665
Los Hernández,9,3,0,25,33.33333333,66.66666667,100,1.29,0,100,0.244508338,Alto,16.59306491,35390,250
Puente del Río Salado,29,8,4.347826087,36.36363636,12.5,0,100,1.38,12.5,0,-0.617481954,Alto,9.749959607,74190,884
Los Torres,14,4,0,33.33333333,0,25,100,1.75,0,100,0.00065104,Alto,14.65714847,44400,342
Capilla San Isidro,11,3,14.28571429,60,33.33333333,0,100,2.75,66.66666667,33.33333333,0.811315977,Muy alto,21.09279581,20336,108
Los Ángeles,8,6,14.28571429,71.42857143,16.66666667,83.33333333,100,0.57,33.33333333,100,0.921058235,Muy alto,21.9640096,18171,96
José Quintero,8,4,0,62.5,50,75,100,0.73,0,100,0.610520819,Alto,19.49873795,24853,149
Lázaro Cárdenas,50,14,6.976744186,47.5,0,35.71428571,100,1.11,14.28571429,35.71428571,-0.171467101,Alto,13.2907496,51746,449
Ciudad Apodaca,467157,116900,1.111938289,6.575365457,2.080410607,0.068841116,0.310271291,0.97,0.996846087,4.052181352,-1.500447849,Muy bajo,2.740334735,105866,1986
Agua Fría,733,171,3.118908382,15.27196653,1.754385965,0,13.01775148,0.95,4.733727811,2.923976608,-1.33735821,Muy bajo,4.035058797,104192,1892
Loma la Paz,5629,1263,1.4864471,9.646302251,2.53365004,0,0.081234769,1.33,1.540957015,6.175771972,-1.348949171,Muy bajo,3.943041321,104345,1901
Santa Rosa,9880,2800,0.850795652,5.921052632,0.607142857,0.142908182,0.393278513,0.96,5.644873169,2.964285714,-1.495275552,Muy bajo,2.781396188,105822,1982
Campestre Huinalá,2000,532,0.081566069,2.996575343,1.879699248,0,1.340996169,0.97,0.191570881,3.383458647,-1.55655466,Muy bajo,2.294918098,106246,2008
Patricio Zambrano (Los Leones),23,6,0,12.5,0,0,100,2.3,16.66666667,33.33333333,-0.498288594,Alto,10.69620311,67855,744
San Jerónimo (La Hacienda),8,4,0,50,0,0,50,0.8,0,25,-0.864265255,Medio,7.790814442,87415,1246
Caballerizas,12,3,0,14.28571429,0,0,0,1.33,0,0,-1.384699798,Muy bajo,3.659226871,104799,1931
La Labor de la Virgen,9,3,0,50,0,0,0,1.5,0,0,-0.985369593,Medio,6.829400207,93210,1441
Nueva Santa Rosa,13,3,0,22.22222222,0,33.33333333,66.66666667,1.18,0,33.33333333,-0.72432096,Alto,8.901793944,79917,1013
Santa Beva (San Fernando),10,4,14.28571429,28.57142857,0,0,25,1.67,0,25,-0.740288942,Alto,8.775028504,80805,1036
Entronque Laredo-Salinas Victoria,2758,435,1.796407186,7.397959184,0.229885058,0,8.986175115,1.13,0,0.91954023,-1.449124325,Muy bajo,3.147778158,105446,1965
La Escondida,22,4,7.142857143,28.57142857,0,0,75,2,0,0,-0.729591759,Alto,8.859950512,80212,1022
El Rodeo,12,3,0,25,0,0,33.33333333,1.5,0,0,-1.124991217,Bajo,5.720982304,98952,1640
Artemio Treviño,1756,416,3.745644599,19.55307263,2.884615385,0.484261501,13.04347826,1.22,3.381642512,5.769230769,-1.195878831,Bajo,5.158224907,101154,1741
Teresita,26,4,5.555555556,33.33333333,0,0,0,2.36,0,0,-0.845588105,Medio,7.93908723,86444,1213
Prados de Santa Rosa,9626,2499,0.912624641,6.145152746,1.56062425,0.162469537,0.243803332,1.03,1.586010573,4.161664666,-1.488720128,Muy bajo,2.833437903,105770,1980
Ex-Hacienda de Santa Rosa,6,3,0,33.33333333,0,0,66.66666667,1.2,33.33333333,33.33333333,-0.585515948,Alto,10.00372899,72530,842
Fraccionamiento Cosmópolis Octavo Sector,2996,827,0.793650794,4.091653028,0.120918984,0,0,0.95,0.486026732,1.813784764,-1.564331333,Muy bajo,2.233181215,106298,2011
Ex-Hacienda Santa Rosa,9485,2695,0.084731402,1.70031881,1.632653061,0,0.075500189,0.9,0.414937759,3.153988868,-1.593817543,Muy bajo,1.999098251,106503,2020
Fraccionamiento Misión de San Javier,2655,642,0.136892539,3.756574005,2.959501558,0,0,1.04,2.889245586,4.517133956,-1.501786597,Muy bajo,2.729706776,105872,1988
Misión San Pablo,8174,2173,0.55601318,3.582218386,3.313391625,0,0.190476191,1.01,0.381497377,4.509894156,-1.521144476,Muy bajo,2.57602987,106015,1994
Radica,102,36,0,0,5.555555556,0,0,0.57,0,5.555555556,-1.667614523,Muy bajo,1.413244199,106963,2033
Triana,101,34,0,0,0,0,0,0.78,0,2.941176471,-1.658367073,Muy bajo,1.486657182,106902,2031
Las Cruces,26,8,0,5.882352941,0,25,25,0.53,25,25,-1.127240692,Bajo,5.703124334,99027,1645
Aramberri,2538,673,4.233409611,24.66504263,3.120356612,1.188707281,9.212481426,1.05,8.18452381,16.64190193,-1.093394773,Bajo,5.971817829,97786,1591
Agua Delgada,191,35,27.27272727,58.16326531,0,0,40,1.62,11.42857143,68.57142857,0.091590271,Alto,15.37909018,40890,305
El Alamar,70,15,39.02439024,78.04878049,33.33333333,73.33333333,100,2.06,26.66666667,100,1.691790199,Muy alto,28.08263998,7901,21
Álamos,73,15,9.756097561,65,60,13.33333333,6.666666667,1.59,93.33333333,100,1.011679866,Muy alto,22.68342996,16525,84
La Aldea,250,58,9.271523179,37.32394366,6.896551724,12.06896552,61.40350877,1.59,24.13793103,48.27586207,-0.198754488,Alto,13.0741225,53024,466
La Angostura,10,4,10,60,0,50,50,1.11,25,100,0.380283356,Alto,17.67094566,31064,202
Las Ánimas (Presa de las Ánimas),199,51,15.32846715,48.50746269,15.68627451,5.882352941,15.68627451,1.21,9.803921569,50.98039216,-0.333418105,Alto,12.00506486,59264,571
La Ascención,2823,754,7.894736842,27.5477707,2.25464191,0.663129974,2.925531915,1,6.763925729,19.23076923,-1.055516239,Medio,6.272525157,96229,1538
La Boquilla,29,9,8.333333333,66.66666667,11.11111111,77.77777778,33.33333333,1.32,55.55555556,100,0.876459732,Muy alto,21.60995428,19004,102
La Caballada,162,41,23.21428571,53.57142857,7.317073171,0,31.70731707,1.33,26.82926829,56.09756098,-0.037158126,Alto,14.35699185,45932,363
Cañón de Vacas (El Jardín),117,28,14.86486486,43.24324324,3.571428571,3.571428571,67.85714286,1.48,10.71428571,46.42857143,-0.255424381,Alto,12.62423571,55572,505
La Carpintería,99,30,17.14285714,41.79104478,6.666666667,13.33333333,90,1.3,13.33333333,23.33333333,-0.262486713,Alto,12.56816978,55884,510
El Carrizalillo,43,9,22.58064516,54.83870968,33.33333333,33.33333333,55.55555556,1.59,33.33333333,55.55555556,0.514678752,Alto,18.73787397,27334,167
Dolores Palmita,65,16,13.33333333,63.63636364,18.75,12.5,0,1.55,18.75,100,0.250819392,Alto,16.64316664,35163,247
La Escondida,364,100,7.169811321,40.72580645,3,0,4,1.19,4,30,-0.832613921,Medio,8.042085734,85767,1184
La Esperanza,95,28,1.538461539,40.625,0,3.571428571,0,1.19,14.28571429,25,-0.871493842,Medio,7.733428665,87779,1259
Rancho Nuevo (Las Hornillas),135,30,13.92405063,33.76623377,13.33333333,3.333333333,36.66666667,1.71,33.33333333,53.33333333,-0.145268579,Alto,13.49873251,50594,425
Ibarrilla (Rincón de Ibarrilla),103,29,8.108108108,44.59459459,10.34482759,6.896551724,0,1.45,10.34482759,100,-0.171496952,Alto,13.29051263,51748,450
Ignacio Zaragoza,96,28,25.35211268,66.1971831,14.28571429,7.142857143,17.85714286,1.33,82.14285714,96.42857143,0.78018903,Muy alto,20.84568749,20962,112
Hoya de Bocacelly,79,23,13.79310345,59.64912281,8.695652174,0,4.347826087,1.2,17.39130435,34.7826087,-0.404590874,Alto,11.4400437,62921,648
Joyas y Anteojitos,136,42,24.27184466,66.01941748,4.761904762,0,0,1.16,16.66666667,45.23809524,-0.20028683,Alto,13.06195765,53091,468
Laguna de Bocacelly,50,15,18.91891892,63.88888889,13.33333333,0,6.666666667,1.25,20,33.33333333,-0.241334183,Alto,12.73609394,54909,488
Lagunita (Lagunita de los Cerda),22,3,0,23.07692308,0,100,100,3.14,100,100,1.433451211,Muy alto,26.03175737,10610,33
Lampacitos,202,48,8.148148148,57.03703704,6.25,2.083333333,2.083333333,1.52,6.25,43.75,-0.444638771,Alto,11.12211439,65026,694
Marmolejo,94,17,10.16949153,47.45762712,35.29411765,11.76470588,100,1.96,5.882352941,35.29411765,0.096860146,Alto,15.42092627,40676,302
Milpillas,134,40,22.91666667,53.68421053,2.5,10,7.5,1.28,27.5,52.5,-0.114674388,Alto,13.74161143,49273,407
El Nacimiento,61,14,2.380952381,50,7.142857143,0,14.28571429,1.49,71.42857143,7.142857143,-0.334794937,Alto,11.99413456,59336,574
Los Nogales,107,25,10.76923077,36.06557377,12,8,16,1.49,8,40,-0.523011606,Alto,10.49993388,69206,775
El Porvenir,33,10,7.692307692,66.66666667,0,0,0,1.32,10,60,-0.341578623,Alto,11.94028074,59660,579
Potrero del Padre (Lagunita de González),46,11,12.5,37.5,9.090909091,81.81818182,72.72727273,2,100,100,1.27295978,Muy alto,24.75765977,12577,50
Potrero de Zamora,71,19,15.09433962,51.92307692,10.52631579,0,0,1.29,15.78947368,26.31578947,-0.505738548,Alto,10.63705996,68266,760
Las Presas,88,21,19.64285714,39.62264151,57.14285714,14.28571429,100,1.33,4.761904762,33.33333333,0.088713035,Alto,15.35624858,40979,306
Puerto Bajo,68,21,10.34482759,43.63636364,0,0,0,1.05,9.523809524,19.04761905,-0.86100517,Medio,7.816695368,87244,1244
Puerto Carretas,109,27,11.94029851,53.125,14.81481481,3.703703704,37.03703704,1.31,14.81481481,37.03703704,-0.302410903,Alto,12.25122256,57836,544
Rancho Nuevo,80,20,12.28070175,45.45454545,5,5,10,1.29,30,30,-0.45343803,Alto,11.05225948,65444,703
El Realito (La Parrita),129,35,9.87654321,32.05128205,2.857142857,0,2.857142857,1.12,2.857142857,22.85714286,-0.959283839,Medio,7.036487877,92032,1400
La Reforma,66,17,11.11111111,37.20930233,35.29411765,0,5.882352941,1.27,17.64705882,58.82352941,-0.333663213,Alto,12.00311901,59282,572
El Refugio (Refugio de Texas),89,22,19.35483871,56.66666667,22.72727273,0,100,1.41,31.81818182,100,0.576952786,Alto,19.2322505,25692,154
El Rincón de Jesús,62,17,4.347826087,47.82608696,5.882352941,0,0,1.68,41.17647059,100,0.020351029,Alto,14.8135413,43615,330
Poblado el Río (El Sabinito),22,6,16.66666667,81.81818182,66.66666667,66.66666667,83.33333333,1.57,16.66666667,100,1.345814942,Muy alto,25.33603699,11639,43
El Rodeo,36,10,6.896551724,48.27586207,0,10,10,1.2,40,60,-0.264937991,Alto,12.54870976,55995,513
El Rucio,121,34,15.85365854,55.55555556,0,11.76470588,2.941176471,1.38,20.58823529,100,0.0645107,Alto,15.16411286,41903,314
El Sacramento,79,21,7.142857143,41.50943396,0,0,28.57142857,1.44,19.04761905,28.57142857,-0.600018217,Alto,9.888599442,73246,862
Salitrillo,53,10,10.34482759,55.17241379,20,0,10,1.66,10,50,-0.241047724,Alto,12.73836806,54893,487
Sandia (Sandia el Grande),995,251,6.956521739,36.14814815,1.992031873,0,1.195219124,1.22,9.163346614,25.09960159,-0.881255703,Medio,7.655931918,88258,1271
San Isidro,187,44,8.661417323,34.92063492,6.818181818,0,0,1.34,4.545454546,38.63636364,-0.764963322,Alto,8.57914534,82166,1087
San Joaquín de Soto,258,66,15.87301587,46.56084656,13.63636364,6.153846154,3.03030303,1.23,7.575757576,40.90909091,-0.467743791,Alto,10.93868995,66218,716
San José del Jilguero,53,17,27.90697674,67.44186047,0,88.23529412,11.76470588,1.1,29.41176471,100,0.818752131,Muy alto,21.15182941,20138,107
San Juan de Avilés,139,39,5.050505051,36.45833333,12.82051282,2.564102564,0,1.07,10.25641026,25.64102564,-0.85715299,Medio,7.847276766,87041,1235
San Juanito de Reséndiz,82,28,14.28571429,55.07246377,0,7.142857143,0,0.98,25,46.42857143,-0.401164638,Alto,11.46724365,62732,644
San Juanito de Solís,54,15,15.38461538,44.73684211,0,0,86.66666667,1.26,6.666666667,40,-0.343444376,Alto,11.92546903,59765,581
Puentes (San Juan y Puentes),293,75,8.225108225,34.49781659,0,1.333333333,1.333333333,1.06,8,9.333333333,-1.031813114,Medio,6.460697791,95242,1498
San Rafael de los Cortez (Las Cruces),46,12,13.15789474,56.75675676,8.333333333,9.090909091,25,1.39,25,41.66666667,-0.174294605,Alto,13.26830282,51881,451
San Rafael del Llano,135,37,5.769230769,34.31372549,2.702702703,5.405405405,2.702702703,1.24,2.702702703,32.43243243,-0.866458687,Medio,7.773401384,87513,1251
Santa Cruz,21,3,7.142857143,46.15384615,0,66.66666667,66.66666667,2.63,33.33333333,66.66666667,0.635810137,Alto,19.69950293,24238,141
El Saucillo,19,7,12.5,81.25,28.57142857,0,85.71428571,1,85.71428571,42.85714286,0.635981158,Alto,19.70086061,24233,140
La Soledad (Rusia),439,122,7.666666667,40.74074074,0,0.819672131,0,1.07,9.016393443,18.03278689,-0.922170224,Medio,7.331122721,90271,1338
El Tejocote,41,12,15.625,71.875,0,8.333333333,0,0.95,0,33.33333333,-0.470992527,Alto,10.91289913,66405,720
La Trinidad,621,166,14.48275862,41.9047619,4.819277108,8.536585366,3.067484663,1.11,15.15151515,40.36144578,-0.551391431,Alto,10.2746342,70672,806
La Victoria (Los Ángeles),137,36,5.154639175,35.05154639,5.555555556,2.777777778,100,1.17,5.555555556,27.77777778,-0.580704036,Alto,10.04192945,72269,834
Las Virgenes,34,9,13.04347826,52.17391304,0,0,0,1.21,11.11111111,44.44444444,-0.534505353,Alto,10.40868816,69819,791
Yerbaniz,10,3,22.22222222,33.33333333,0,66.66666667,66.66666667,1.11,33.33333333,100,0.483851736,Alto,18.49314671,28143,176
San Enrique (Los Mendoza),12,3,0,42.85714286,0,0,100,2,0,100,0.008287349,Alto,14.71777104,44119,336
El Jilguero,26,10,33.33333333,72.22222222,0,10,0,1.13,0,100,0.216761279,Alto,16.37278859,36338,259
La Canoa,51,13,12.5,53.33333333,15.38461538,7.692307692,38.46153846,1.55,15.38461538,100,0.189955242,Alto,16.15998279,37306,269
Ojo de Agua,26,6,5.882352941,41.17647059,83.33333333,0,0,1.86,16.66666667,100,0.304551177,Alto,17.06972859,33446,228
San Antonio,19,6,8.333333333,58.33333333,100,100,100,1.36,100,100,1.981173846,Muy alto,30.37997765,5426,13
La Mora,8,4,12.5,62.5,100,0,0,0.89,0,50,0.012056052,Alto,14.74768975,43978,332
La Reforma,18,5,40,70,0,0,20,1.38,0,80,0.227839706,Alto,16.46073719,35966,257
Milpa Vieja (San Manuel),20,5,10,70,0,0,0,1.43,60,60,0.095167294,Alto,15.40748718,40746,304
El Coyote,43,12,32.35294118,52.94117647,8.333333333,8.333333333,8.333333333,1.34,8.333333333,75,0.042554808,Alto,14.98981104,42738,320
La Lajilla,14,4,0,66.66666667,0,0,0,1.4,50,25,-0.35175636,Alto,11.85948246,60202,590
Las Joyitas,6,3,0,66.66666667,0,0,66.66666667,0.67,33.33333333,33.33333333,-0.401036009,Alto,11.4682648,62727,643
Cedritos,59,12,31.81818182,56.81818182,0,33.33333333,0,1.44,16.66666667,91.66666667,0.339364746,Alto,17.346104,32332,215
La Rosita (Los Llanitos),83,22,9.803921569,46.93877551,4.545454546,0,0,1.24,4.545454546,22.72727273,-0.768821637,Alto,8.548515234,82358,1093
El Mezquital,12,3,20,40,33.33333333,0,0,1.09,33.33333333,0,-0.522532281,Alto,10.50373911,69181,774
El Tejón,17,4,0,40,0,0,0,1.21,0,50,-0.860727329,Medio,7.818901066,87228,1242
El Molino,19,4,0,16.66666667,0,0,0,1.9,0,50,-0.902673336,Medio,7.485903182,89350,1313
San Isidro,17,5,27.27272727,45.45454545,20,20,40,1.31,20,40,0.007642614,Alto,14.71265267,44145,337
